2026-08-31 23:40:45 | INFO    | Run=author_bn_no_outer_skip_full_bs16_lr1e-3_20260831_234036 | model=reduced_bn_no_outer_skip | version=1.7.0 | commit=b12b8be13de4fc76790fa2c2d59c57df81597d98 | device=cuda | parameters=39,121,665 | train/val=80,531/3,383 | checkpoints=/data_ssd/oyys/autophasenn/autophasenn_pipeline_output/high_strain_cnn/author_bn_no_outer_skip_full_bs16_lr1e-3_20260831_234036
2026-08-31 23:40:45 | INFO    | Data=author_npz | workers=4 | prefetch/worker=2 | fixed stored observations | precision=float32
2026-08-31 23:40:45 | INFO    | Author splits | original={'train': 80531, 'val': 3383, 'test': 2524} | eligible={'train': 80531, 'val': 3383, 'test': 2524} | excluded={'train': 0, 'val': 0, 'test': 0} | min oversampling (exclusive)=None
2026-09-01 00:15:28 | INFO    | TRAIN | epoch=001/030 | batch=03150/05033 | loss=7.468023e-01 | stage_elapsed=00:34:43 | stage_eta=00:20:45 | data_wait=4.09s
2026-09-01 00:16:00 | INFO    | TRAIN | epoch=001/030 | batch=03200/05033 | loss=7.833430e-01 | stage_elapsed=00:35:15 | stage_eta=00:20:12 | data_wait=4.10s
2026-09-01 00:16:32 | INFO    | TRAIN | epoch=001/030 | batch=03250/05033 | loss=7.507524e-01 | stage_elapsed=00:35:47 | stage_eta=00:19:38 | data_wait=4.12s
2026-09-01 00:17:04 | INFO    | TRAIN | epoch=001/030 | batch=03300/05033 | loss=6.748118e-01 | stage_elapsed=00:36:19 | stage_eta=00:19:04 | data_wait=4.14s
2026-09-01 00:17:39 | INFO    | TRAIN | epoch=001/030 | batch=03350/05033 | loss=7.075848e-01 | stage_elapsed=00:36:54 | stage_eta=00:18:32 | data_wait=4.15s
2026-09-01 00:18:11 | INFO    | TRAIN | epoch=001/030 | batch=03400/05033 | loss=7.285390e-01 | stage_elapsed=00:37:26 | stage_eta=00:17:59 | data_wait=4.16s
2026-09-01 00:18:45 | INFO    | TRAIN | epoch=001/030 | batch=03450/05033 | loss=7.455596e-01 | stage_elapsed=00:38:00 | stage_eta=00:17:26 | data_wait=4.17s
2026-09-01 00:19:19 | INFO    | TRAIN | epoch=001/030 | batch=03500/05033 | loss=7.104998e-01 | stage_elapsed=00:38:34 | stage_eta=00:16:54 | data_wait=4.18s
2026-09-01 00:19:51 | INFO    | TRAIN | epoch=001/030 | batch=03550/05033 | loss=6.670965e-01 | stage_elapsed=00:39:06 | stage_eta=00:16:20 | data_wait=4.20s
2026-09-01 00:20:24 | INFO    | TRAIN | epoch=001/030 | batch=03600/05033 | loss=6.445947e-01 | stage_elapsed=00:39:39 | stage_eta=00:15:47 | data_wait=4.21s
2026-09-01 00:20:56 | INFO    | TRAIN | epoch=001/030 | batch=03650/05033 | loss=6.932986e-01 | stage_elapsed=00:40:11 | stage_eta=00:15:13 | data_wait=4.23s
2026-09-01 00:21:28 | INFO    | TRAIN | epoch=001/030 | batch=03700/05033 | loss=7.644694e-01 | stage_elapsed=00:40:43 | stage_eta=00:14:40 | data_wait=4.24s
2026-09-01 00:22:01 | INFO    | TRAIN | epoch=001/030 | batch=03750/05033 | loss=6.759425e-01 | stage_elapsed=00:41:16 | stage_eta=00:14:07 | data_wait=4.25s
