name,normal_paper_modulus_mae,recalibrated_paper_modulus_mae,delta_paper_modulus_mae,normal_chi2_modulus,recalibrated_chi2_modulus,delta_chi2_modulus,normal_pearson_corr,recalibrated_pearson_corr,delta_pearson_corr,normal_real_amp_l1,recalibrated_real_amp_l1,delta_real_amp_l1,normal_real_amp_ssim,recalibrated_real_amp_ssim,delta_real_amp_ssim,normal_real_support_iou,recalibrated_real_support_iou,delta_real_support_iou,normal_real_support_dice,recalibrated_real_support_dice,delta_real_support_dice,normal_real_support_volume_ratio,recalibrated_real_support_volume_ratio,delta_real_support_volume_ratio,normal_real_phase_mae_true_support,recalibrated_real_phase_mae_true_support,delta_real_phase_mae_true_support
val_diff_001240,4.419409275054932,4.413690567016602,-0.005718708038330078,0.01594914309680462,0.01594730280339718,-1.8402934074401855e-06,0.9918103218078613,0.9919191002845764,0.00010877847671508789,0.004247667267918587,0.004204259719699621,-4.340754821896553e-05,0.970496654510498,0.9706553220748901,0.00015866756439208984,0.8013386726379395,0.8065865635871887,0.005247890949249268,0.8897145986557007,0.8929398655891418,0.003225266933441162,1.203734040260315,1.1921061277389526,-0.011627912521362305,0.2927631437778473,0.29617807269096375,0.003414928913116455
val_diff_001241,4.63835334777832,4.704158782958984,0.06580543518066406,0.022762104868888855,0.023523718118667603,0.0007616132497787476,0.9882495403289795,0.9878355264663696,-0.0004140138626098633,0.006620802450925112,0.006944010034203529,0.0003232075832784176,0.9534292221069336,0.9512123465538025,-0.0022168755531311035,0.8151367902755737,0.8068274259567261,-0.008309364318847656,0.8981546759605408,0.8930874466896057,-0.005067229270935059,1.146072268486023,1.164791226387024,0.018718957901000977,0.3876734673976898,0.3674662113189697,-0.020207256078720093
val_diff_001242,4.087960720062256,4.098535537719727,0.010574817657470703,0.015713877975940704,0.015997519716620445,0.0002836417406797409,0.9918884634971619,0.9918412566184998,-4.7206878662109375e-05,0.0047106994315981865,0.004712933674454689,2.234242856502533e-06,0.9654558897018433,0.9652453064918518,-0.00021058320999145508,0.7546768188476562,0.755405604839325,0.0007287859916687012,0.8601889610290527,0.8606621623039246,0.00047320127487182617,1.2572882175445557,1.2396790981292725,-0.017609119415283203,0.3505723476409912,0.3575272858142853,0.006954938173294067
val_diff_001243,3.263963460922241,3.2835350036621094,0.019571542739868164,0.02174675650894642,0.022183965891599655,0.0004372093826532364,0.9887263178825378,0.9885163903236389,-0.00020992755889892578,0.00274284859187901,0.002695402130484581,-4.744646139442921e-05,0.9762891530990601,0.9768682718276978,0.0005791187286376953,0.7393341660499573,0.7498117685317993,0.010477602481842041,0.8501346707344055,0.8570199608802795,0.0068852901458740234,1.267116665840149,1.2414014339447021,-0.025715231895446777,0.44788122177124023,0.4383068084716797,-0.009574413299560547
val_diff_001244,3.933786153793335,3.944849729537964,0.011063575744628906,0.020160801708698273,0.020304018631577492,0.00014321692287921906,0.9897916316986084,0.9898388385772705,4.7206878662109375e-05,0.006465769372880459,0.006448932457715273,-1.683691516518593e-05,0.9559580087661743,0.9558562636375427,-0.0001017451286315918,0.7530720829963684,0.7536113858222961,0.0005393028259277344,0.8591456413269043,0.8594964742660522,0.0003508329391479492,1.2644504308700562,1.2541179656982422,-0.010332465171813965,0.3040387034416199,0.3091045618057251,0.005065858364105225
val_diff_001245,3.732236862182617,3.736313581466675,0.004076719284057617,0.017691288143396378,0.018066441640257835,0.0003751534968614578,0.9907472729682922,0.9905592799186707,-0.00018799304962158203,0.0038026010151952505,0.0037202422972768545,-8.2358717918396e-05,0.9675980806350708,0.9682884812355042,0.0006904006004333496,0.7475943565368652,0.7541167736053467,0.006522417068481445,0.8555696606636047,0.859825074672699,0.004255414009094238,1.188137173652649,1.1719183921813965,-0.01621878147125244,0.29052671790122986,0.2943461537361145,0.0038194358348846436
val_diff_001246,3.6555161476135254,3.6782376766204834,0.022721529006958008,0.02430262602865696,0.024738125503063202,0.00043549947440624237,0.9874275922775269,0.9872127771377563,-0.0002148151397705078,0.005483137909322977,0.005423429887741804,-5.970802158117294e-05,0.9545618891716003,0.9552058577537537,0.0006439685821533203,0.6791326403617859,0.6837931871414185,0.004660546779632568,0.8089088797569275,0.8122056722640991,0.003296792507171631,1.2515802383422852,1.2372524738311768,-0.014327764511108398,0.4537477493286133,0.4523945450782776,-0.0013532042503356934
val_diff_001247,4.72861385345459,4.734260082244873,0.005646228790283203,0.04244924336671829,0.04276183620095253,0.00031259283423423767,0.9788018465042114,0.978869616985321,6.777048110961914e-05,0.009096554480493069,0.009112445637583733,1.589115709066391e-05,0.9351207613945007,0.9347529411315918,-0.00036782026290893555,0.713456392288208,0.714168906211853,0.0007125139236450195,0.8327686786651611,0.8332538604736328,0.0004851818084716797,1.24013352394104,1.2275348901748657,-0.012598633766174316,0.6279628276824951,0.631538450717926,0.003575623035430908
val_diff_001248,3.7394514083862305,3.7550296783447266,0.015578269958496094,0.016131507232785225,0.016469450667500496,0.000337943434715271,0.9916228652000427,0.9915143847465515,-0.00010848045349121094,0.0036103990860283375,0.003576281014829874,-3.411807119846344e-05,0.973802387714386,0.9739157557487488,0.00011336803436279297,0.7549545764923096,0.7578662037849426,0.0029116272926330566,0.8603693842887878,0.8622570037841797,0.0018876194953918457,1.2483470439910889,1.2311557531356812,-0.017191290855407715,0.37126973271369934,0.37188345193862915,0.0006137192249298096
val_diff_001249,4.639140605926514,4.64943790435791,0.010297298431396484,0.027846265584230423,0.0282362662255764,0.0003900006413459778,0.9863145351409912,0.9863293766975403,1.4841556549072266e-05,0.00894012488424778,0.008898170664906502,-4.1954219341278076e-05,0.9413409233093262,0.9414868354797363,0.00014591217041015625,0.6977805495262146,0.7018204927444458,0.004039943218231201,0.8219914436340332,0.8247879147529602,0.002796471118927002,1.3345693349838257,1.3197375535964966,-0.014831781387329102,0.4091458022594452,0.4126127064228058,0.0034669041633605957
